XX,Start,End,Term,Ontology,Identifier,Test_no
00000,13850,13855,human,Species,9606,473
00000,13987,13992,human,Species,9606,473
00000,14862,14867,Human,Species,9606,473
00000,15563,15585,defines skin corrosion,Disease,MESH:D012871,473
00000,15718,15732,skin corrosion,Disease,MESH:D012871,473
00000,15748,15753,human,Species,9606,473
00000,16347,16352,Human,Species,9606,473
00000,16421,16426,human,Species,9606,473
00000,16450,16464,skin corrosion,Disease,MESH:D012871,473
00000,16505,16519,Skin corrosion,Disease,MESH:D012871,473
00000,16602,16610,necrosis,Disease,MESH:D009336,473
00000,16758,16767,Mammalian,Species,9606,473
00000,16803,16807,Hprt,Gene,3251,473
00000,16835,16844,mammalian,Species,9606,473
00000,16999,17034,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,473
00000,17048,17052,HPRT,Gene,3251,473
00000,17077,17107,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,473
00000,17132,17136,HPRT,Gene,3251,473
00000,17231,17240,Mammalian,Species,9606,473
00000,17276,17285,Thymidine,Chemical,MESH:D013936,473
00000,17310,17319,mammalian,Species,9606,473
00000,17452,17461,mammalian,Species,9606,473
00000,17550,17554,7.2C,CellLine,CVCL:J025,473
00000,17569,17574,mouse,Species,10090,473
00000,17575,17583,lymphoma,Disease,MESH:D008223,473
00000,17591,17594,MLA,Chemical,MESH:C521086,473
00000,17756,17765,Mammalian,Species,9606,473
00000,17801,17805,Hprt,Gene,3251,473
00000,17833,17842,mammalian,Species,9606,473
00000,17997,18032,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,473
00000,18046,18050,HPRT,Gene,3251,473
00000,18075,18105,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,473
00000,18130,18134,HPRT,Gene,3251,473
00000,18229,18243,skin corrosion,Disease,MESH:D012871,473
00000,18259,18264,human,Species,9606,473
00000,18828,18837,Mammalian,Species,9606,473
00000,18873,18882,Thymidine,Chemical,MESH:D013936,473
00000,18907,18916,mammalian,Species,9606,473
00000,19049,19058,mammalian,Species,9606,473
00000,19147,19151,7.2C,CellLine,CVCL:J025,473
00000,19166,19171,mouse,Species,10090,473
00000,19172,19180,lymphoma,Disease,MESH:D008223,473
00000,19188,19191,MLA,Chemical,MESH:C521086,473
00000,19457,19462,human,Species,9606,473
00000,19479,19493,skin corrosion,Disease,MESH:D012871,473
00000,19514,19517,rat,Species,10116,473
00000,19888,19893,Human,Species,9606,473
00000,19962,19967,human,Species,9606,473
00000,19991,20005,skin corrosion,Disease,MESH:D012871,473
00000,20046,20060,Skin corrosion,Disease,MESH:D012871,473
00000,20143,20151,necrosis,Disease,MESH:D009336,473
00000,20410,20415,human,Species,9606,473
00000,20439,20453,skin corrosion,Disease,MESH:D012871,473
00000,20494,20508,Skin corrosion,Disease,MESH:D012871,473
00000,20591,20599,necrosis,Disease,MESH:D009336,473
00000,20802,20811,Mammalian,Species,9606,473
00000,20863,20876,Guideline 479,Chemical,MESH:C000596309,473
00000,20942,20951,Mammalian,Species,9606,473
00000,21105,21122,Estrogen Receptor,Gene,2099,473
00000,21297,21314,Estrogen Receptor,Gene,2099,473
00000,21449,21466,estrogen receptor,Gene,2099,473
00000,21697,21710,ERa-HeLa-9903,CellLine,CVCL:2485,473
00000,21737,21742,human,Species,9606,473
00000,21752,21757,tumor,Disease,MESH:D009369,473
00000,21767,21770,BG1,CellLine,CVCL:6570,473
00000,21796,21799,BG1,CellLine,CVCL:6570,473
00000,21804,21806,E2,CellLine,CVCL:6769,473
00000,21833,21838,human,Species,9606,473
00000,21839,21861,ovarian adenocarcinoma,Disease,MESH:D010051,473
00000,22826,22843,Estrogen Receptor,Gene,2099,473
00000,23018,23035,Estrogen Receptor,Gene,2099,473
00000,23170,23187,estrogen receptor,Gene,2099,473
00000,23418,23431,ERa-HeLa-9903,CellLine,CVCL:2485,473
00000,23458,23463,human,Species,9606,473
00000,23473,23478,tumor,Disease,MESH:D009369,473
00000,23488,23491,BG1,CellLine,CVCL:6570,473
00000,23517,23520,BG1,CellLine,CVCL:6570,473
00000,23525,23527,E2,CellLine,CVCL:6769,473
00000,23554,23559,human,Species,9606,473
00000,23560,23582,ovarian adenocarcinoma,Disease,MESH:D010051,473
00000,24503,24516,rainbow trout,Species,8022,473
00000,24642,24655,rainbow trout,Species,8022,473
00000,24658,24677,Oncorhynchus mykiss,Species,8022,473
00000,25412,25425,rainbow trout,Species,8022,473
00000,25505,25518,rainbow trout,Species,8022,473
00000,25521,25540,Oncorhynchus mykiss,Species,8022,473
00000,26323,26340,Estrogen Receptor,Gene,100136026,473
00000,26500,26517,Estrogen Receptor,Gene,100136026,473
00000,26630,26647,estrogen receptor,Gene,100136026,473
00000,26862,26875,ERa-HeLa-9903,CellLine,CVCL:2485,473
00000,26902,26907,human,Species,9606,473
00000,26917,26922,tumor,Disease,MESH:D009369,473
00000,26932,26935,BG1,CellLine,CVCL:6570,473
00000,26961,26964,BG1,CellLine,CVCL:6570,473
00000,26969,26971,E2,CellLine,CVCL:6769,473
00000,26998,27003,human,Species,9606,473
00000,27004,27026,ovarian adenocarcinoma,Disease,MESH:D010051,473
00000,27858,27867,Mammalian,Species,9606,473
00000,27928,27941,Guideline 482,Chemical,MESH:C056814,473
00000,28015,28024,Mammalian,Species,9606,473
00000,28447,28457,eye damage,Disease,MESH:D005131,473
00000,28512,28526,eye irritation,Disease,MESH:D005128,473
00000,28538,28548,eye damage,Disease,MESH:D005131,473
00000,29693,29705,cytotoxicity,Disease,MESH:D064420,473
00000,29810,29814,SIRC,CellLine,CVCL:2724,473
00000,29845,29858,polycarbonate,Chemical,MESH:C028237,473
00000,29922,29934,cytotoxicity,Disease,MESH:D064420,473
00000,29991,29995,SIRC,CellLine,CVCL:2724,473
00000,30104,30117,ocular damage,Disease,MESH:D009422,473
00000,30323,30357,Thiazolyl Blue Tetrazolium Bromide,Chemical,MESH:C022616,473
00000,30863,30868,Human,Species,9606,473
00000,30881,30898,Estrogen Receptor,Gene,2099,473
00000,31072,31077,human,Species,9606,473
00000,31132,31149,estrogen receptor,Gene,2099,473
00000,31287,31304,estrogen receptor,Gene,2099,473
00000,31512,31529,Estrogen Receptor,Gene,2099,473
00000,31569,31574,Human,Species,9606,473
00000,31659,31676,Estrogen Receptor,Gene,2099,473
00000,31699,31704,Human,Species,9606,473
00000,31810,31823,17b-estradiol,Chemical,MESH:D020381,473
00000,27,36,Mammalian,Species,9606,476
00000,72,76,Hprt,Gene,3251,476
00000,105,109,442E,Chemical,476
00000,347,352,human,Species,9606,476
00000,376,394,skin sensitisation,Disease,MESH:D012871,476
00000,557,560,AOP,Chemical,MESH:C111989,476
00000,586,604,Skin sensitisation,Disease,MESH:D012871,476
00000,882,885,AOP,Chemical,MESH:C111989,476
00000,895,900,human,Species,9606,476
00000,954,958,U937,CellLine,CVCL:0007,476
00000,990,994,SENS,Gene,284252,476
00000,1009,1022,Interleukin-8,Gene,3576,476
00000,1046,1050,IL-8,Gene,3576,476
00000,1400,1404,CD54,Gene,3383,476
00000,1406,1410,CD86,Gene,942,476
00000,1430,1434,IL-8,Gene,3576,476
00000,1516,1520,SENS,Gene,284252,476
00000,1630,1642,fluorochrome,Chemical,MESH:D005456,476
00000,1669,1673,IL-8,Gene,3576,476
00000,1700,1704,IL-8,Gene,3576,476
00000,1803,1807,IL-8,Gene,3576,476
00000,2073,2082,Mammalian,Species,9606,476
00000,2835,2842,mitosis,Disease,OMIM:604588,476
00000,3033,3040,mitosis,Disease,OMIM:604588,476
00000,3098,3103,Human,Species,9606,476
00000,3405,3410,human,Species,9606,476
00000,3542,3547,human,Species,9606,476
00000,4420,4424,IL-2,Gene,3558,476
00000,4473,4477,IL-2,Gene,3558,476
00000,4784,4788,IL-2,Gene,3558,476
00000,4790,4795,IFN-g,Gene,3458,476
00000,4800,4805,GAPDH,Gene,2597,476
00000,5017,5021,Nrf2,Gene,4780,476
00000,5085,5090,human,Species,9606,476
00000,5114,5132,skin sensitisation,Disease,MESH:D012871,476
00000,5173,5191,Skin sensitisation,Disease,MESH:D012871,476
00000,5452,5456,Nrf2,Gene,4780,476
00000,5659,5677,skin sensitisation,Disease,MESH:D012871,476
00000,5958,5962,Nrf2,Gene,4780,476
00000,6307,6311,Nrf2,Gene,4780,476
00000,6525,6529,Nrf2,Gene,4780,476
00000,6650,6654,Nrf2,Gene,4780,476
00000,6887,6896,Mammalian,Species,9606,476
00000,7058,7067,mammalian,Species,9606,476
00000,7083,7105,Structural aberrations,Disease,MESH:D002869,476
00000,7178,7187,Mammalian,Species,9606,476
00000,7940,7947,mitosis,Disease,OMIM:604588,476
00000,8138,8145,mitosis,Disease,OMIM:604588,476
00000,8173,8182,Mammalian,Species,9606,476
00000,8344,8353,mammalian,Species,9606,476
00000,8369,8391,Structural aberrations,Disease,MESH:D002869,476
00000,8464,8473,Mammalian,Species,9606,476
00000,9226,9233,mitosis,Disease,OMIM:604588,476
00000,9424,9431,mitosis,Disease,OMIM:604588,476
00000,9817,9826,Mammalian,Species,9606,476
00000,9987,9996,mammalian,Species,9606,476
00000,10012,10034,Structural aberrations,Disease,MESH:D002869,476
00000,10172,10185,Guideline 435,Chemical,MESH:C002099,476
00000,10640,10649,Mammalian,Species,9606,476
00000,10686,10695,mammalian,Species,9606,476
00000,10868,10877,thymidine,Chemical,MESH:D013936,476
00000,10894,10929,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,476
00000,10943,10947,HPRT,Gene,3251,476
00000,10969,10999,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,476
00000,11028,11032,HPRT,Gene,3251,476
00000,11127,11140,Phototoxicity,Disease,MESH:D017484,476
00000,11157,11162,Human,Species,9606,476
00000,11173,11216,Phototoxicity test methodSkin phototoxicity,Disease,MESH:D017484,476
00000,11430,11435,human,Species,9606,476
00000,11446,11459,phototoxicity,Disease,MESH:D017484,476
00000,11498,11508,phototoxic,Disease,MESH:D017484,476
00000,11581,11586,human,Species,9606,476
00000,11662,11675,Phototoxicity,Disease,MESH:D017484,476
00000,11895,11905,phototoxic,Disease,MESH:D017484,476
00000,12064,12069,Human,Species,9606,476
00000,12371,12376,human,Species,9606,476
00000,12508,12513,human,Species,9606,476
00000,13313,13326,Phototoxicity,Disease,MESH:D017484,476
00000,13388,13400,cytotoxicity,Disease,MESH:D064420,476
00000,13572,13577,Human,Species,9606,476
00000,13878,13883,human,Species,9606,476
00000,14015,14020,human,Species,9606,476
00000,14890,14895,Human,Species,9606,476
00000,15591,15613,defines skin corrosion,Disease,MESH:D012871,476
00000,15746,15760,skin corrosion,Disease,MESH:D012871,476
00000,15776,15781,human,Species,9606,476
00000,16375,16380,Human,Species,9606,476
00000,16449,16454,human,Species,9606,476
00000,16478,16492,skin corrosion,Disease,MESH:D012871,476
00000,16533,16547,Skin corrosion,Disease,MESH:D012871,476
00000,16630,16638,necrosis,Disease,MESH:D009336,476
00000,16786,16795,Mammalian,Species,9606,476
00000,16831,16835,Hprt,Gene,3251,476
00000,16863,16872,mammalian,Species,9606,476
00000,17027,17062,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,476
00000,17076,17080,HPRT,Gene,3251,476
00000,17105,17135,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,476
00000,17160,17164,HPRT,Gene,3251,476
00000,17259,17268,Mammalian,Species,9606,476
00000,17304,17313,Thymidine,Chemical,MESH:D013936,476
00000,17338,17347,mammalian,Species,9606,476
00000,17480,17489,mammalian,Species,9606,476
00000,17578,17582,7.2C,CellLine,CVCL:J025,476
00000,17597,17602,mouse,Species,10090,476
00000,17603,17611,lymphoma,Disease,MESH:D008223,476
00000,17619,17622,MLA,Chemical,MESH:C521086,476
00000,17784,17793,Mammalian,Species,9606,476
00000,17829,17833,Hprt,Gene,3251,476
00000,17861,17870,mammalian,Species,9606,476
00000,18025,18060,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,476
00000,18074,18078,HPRT,Gene,3251,476
00000,18103,18133,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,476
00000,18158,18162,HPRT,Gene,3251,476
00000,18257,18271,skin corrosion,Disease,MESH:D012871,476
00000,18287,18292,human,Species,9606,476
00000,18856,18865,Mammalian,Species,9606,476
00000,18901,18910,Thymidine,Chemical,MESH:D013936,476
00000,18935,18944,mammalian,Species,9606,476
00000,19077,19086,mammalian,Species,9606,476
00000,19175,19179,7.2C,CellLine,CVCL:J025,476
00000,19194,19199,mouse,Species,10090,476
00000,19200,19208,lymphoma,Disease,MESH:D008223,476
00000,19216,19219,MLA,Chemical,MESH:C521086,476
00000,19485,19490,human,Species,9606,476
00000,19507,19521,skin corrosion,Disease,MESH:D012871,476
00000,19542,19545,rat,Species,10116,476
00000,19916,19921,Human,Species,9606,476
00000,19990,19995,human,Species,9606,476
00000,20019,20033,skin corrosion,Disease,MESH:D012871,476
00000,20074,20088,Skin corrosion,Disease,MESH:D012871,476
00000,20171,20179,necrosis,Disease,MESH:D009336,476
00000,20438,20443,human,Species,9606,476
00000,20467,20481,skin corrosion,Disease,MESH:D012871,476
00000,20522,20536,Skin corrosion,Disease,MESH:D012871,476
00000,20619,20627,necrosis,Disease,MESH:D009336,476
00000,20830,20839,Mammalian,Species,9606,476
00000,20891,20904,Guideline 479,Chemical,MESH:C000596309,476
00000,20970,20979,Mammalian,Species,9606,476
