Target,Relation,Publications
@GENE_EXD3,associate,1
@GENE_F3,associate,1
@GENE_FGFR1,associate,1
@GENE_FOS,associate,1
@GENE_G6PD,associate,1
@GENE_GCG,associate,1
@GENE_GGH,associate,1
@GENE_GHR,associate,1
@GENE_GLP1R,associate,1
@GENE_GLRX,associate,1
@GENE_H1_0,associate,1
@GENE_H3P16,associate,1
@GENE_HGF,associate,1
@GENE_HIF1A,associate,1
@GENE_HLA_DRB1,associate,1
@GENE_HOXA4,associate,1
@GENE_ICAM1,associate,1
@GENE_IFNG,associate,1
@GENE_IGF2,associate,1
@GENE_IGKV2D_28,associate,1
@GENE_IL10,associate,1
@GENE_IL12B,associate,1
@GENE_IL2,associate,1
@GENE_LGALS3,associate,1
@GENE_LMNB1,associate,1
@GENE_LOXL2,associate,1
@GENE_MAP2K6,associate,1
@GENE_MCM_4,associate,1
@GENE_MIR_124,associate,1
@GENE_MTOR,associate,1
@GENE_MUT_7,associate,1
@GENE_NDC1,associate,1
@GENE_NEIL1,associate,1
@GENE_NFKB1,associate,1
@GENE_NFKBIA,associate,1
@GENE_OGG1,associate,1
@GENE_PIK3R1,associate,1
@GENE_PLIN1,associate,1
@GENE_PML,associate,1
@GENE_POLA1,associate,1
@GENE_POLI,associate,1
@GENE_POU1F1,associate,1
@GENE_POU5F1,associate,1
@GENE_PPARG,associate,1
@GENE_PPARGC1A,associate,1
@GENE_PPM1D,associate,1
@GENE_PRPF19,associate,1
@GENE_PTH,associate,1
@GENE_PTK2,associate,1
@GENE_PTPN11,associate,1
@GENE_PURG,associate,1
@GENE_RAC1,associate,1
@GENE_RACK1,associate,1
@GENE_RAD18,associate,1
@GENE_RAD54,associate,1
@GENE_RAD54B,associate,1
@GENE_RBPMS,associate,1
@GENE_RECQ5,associate,1
@GENE_RELA,associate,1
@GENE_RET,associate,1
@GENE_REV1,associate,1
@GENE_RIEG2,associate,1
@GENE_RPS26,associate,1
@GENE_RPS6KA3,associate,1
@GENE_SAFB,associate,1
@GENE_SAMHD1,associate,1
@GENE_SIRT6,associate,1
@GENE_SMAD4,associate,1
@GENE_SMPD1,associate,1
@GENE_SOD2,associate,1
@GENE_SPARC,associate,1
@GENE_SRSF1,associate,1
@GENE_SUMO1,associate,1
@GENE_SUV39H1,associate,1
@GENE_TERF1,associate,1
@GENE_TF,associate,1
@GENE_THBD,associate,1
@GENE_TIMP1,associate,1
@GENE_TNFRSF8,associate,1
@GENE_TOP3A,associate,1
@GENE_TPI1,associate,1
@GENE_TRBV20OR9_2,associate,1
@GENE_TRIM32,associate,1
@GENE_TRNG,associate,1
@GENE_TXK,associate,1
@GENE_TXN,associate,1
@GENE_VEGFA,associate,1
@GENE_WNT4,associate,1
@GENE_YBX1,associate,1
